id,cuisine,name,review_count,rate,score,best_answer
OZw2XFl_WG0i5nt636MrVA,british,World Bar,47,3.0,0.007195811253041029,0.0
2JMnv1G2ZTHAldgLhmKnqQ,japanese,Shinbashi,84,3.5,0.041592054069042206,0.0
geNwD4ySIwA732eK2CvDZw,italian,B Squared,365,4.5,0.9175902009010315,1.0
Wq9cARVEwOmoqfg41mNRNg,thailand,Noree Thai Bazaar,95,4.0,0.2519398331642151,1.0
c921DfWPCxG5qJ687TU6Xw,mexican,Burrito Republic,70,4.5,0.743247389793396,1.0
dVAI5zh29psdbHp9wGXwVQ,chinese,M Star Cafe,268,3.5,0.11829892545938492,1.0
TYVIfbcJ3YT4CP1roKMshg,mexican,Lucy's Cantina Royale,615,2.5,0.022989682853221893,0.0
Wg4Mu4YXL_1NSVF9LAH_9w,italian,Bartolino's Italian Ristorante,170,3.5,0.09512028098106384,1.0
28CNHYULci66pJAz-0_pOg,american,Cote,630,4.0,0.7631564736366272,1.0
MdFV5IBcX-Ni6I4Zy1EqIw,italian,Marlow Bistro,237,4.0,0.499652624130249,1.0
U2EvUcS9KtXDv_Yw3cugiw,american,Chez Ma Tante,109,4.5,0.7860534191131592,1.0
yIFI6afTRP-tBhY6WsUOPg,italian,Popina,38,4.5,0.6373299956321716,1.0
-Bh1oJYcf7XmmznR91jX_A,chinese,Chong Qing Xiao Mian II,31,4.0,0.24238647520542145,1.0
BeQgG_eup8mfs8qBDsRv6A,japanese,Anago Sushi,27,3.5,0.032189421355724335,0.0
Uhrv97bXuw6NCkdC66Fhng,american,Bonefish Grill,317,3.5,0.14366279542446136,1.0
tguMh2GgOcU9fu6WN3dqpw,thailand,Original Buddha Bodai Kosher Vegetarian Restaurant,918,4.0,0.9102787375450134,1.0
LkT2-XYjuCSmObs8rOLdzA,japanese,Taro Sushi,498,4.0,0.7101743221282959,1.0
_lo33Y5H84CY0-TLuIwlVg,japanese,Bassanova Ramen,737,3.5,0.5465447902679443,1.0
D1V7ZadUtUPuYYlpDA1BOQ,japanese,Sakura Of Japan,24,4.0,0.2145862877368927,1.0
6OP9YRLABUQMSVMUSAfGPQ,chinese,Noodle Culture,14,3.5,0.0364282988011837,0.0
xoyij4u56KyhiyXL0hLocA,chinese,Simmer Huang 黄记煌,29,2.0,0.00017323165957350284,0.0
rHp_v8fU82U93hYPj3L_3A,mexican,Nacho Macho Taco,246,4.5,0.8540226221084595,1.0
lQgMrqcMZghWd45VIhkUAA,japanese,Koto Sushi,145,4.0,0.2705201208591461,1.0
_XPusO4eMV3L9TiD38I4gw,mexican,Al Horno Lean Mexican Kitchen,48,3.0,0.00898278784006834,0.0
jYRhiPw2qCSWxZTcp3DzIg,mexican,Chicazapa Mexican Restaurant,11,4.5,0.7041120529174805,1.0
K9_vumaLO80LXgoPNJJvRQ,american,The Terrace at EDITION,3,5.0,0.9230279326438904,1.0
gvul1x9MMawVzStJpfGoLA,italian,San Pietro Restaurant,62,3.5,0.06770279258489609,1.0
aMcH8VlXtEGnty-weP1IAA,american,The Garden,30,3.5,0.061948712915182114,0.0
FCqKzOUM6DAxjU_xkXdhzg,american,Royale,455,4.0,0.6757850646972656,1.0
JPEIN-ZFo0-6X06nz6cfYA,japanese,Sushi Daizen,94,4.5,0.6840971112251282,1.0
l-oj1yA5liiFEEwoi-1ELA,italian,Bottega Restaurant,104,3.5,0.09304673969745636,1.0
PVXtnoErBOxLd98kK8lS1w,japanese,Curry-ya,18,4.0,0.19231438636779785,1.0
g_5V15Xp1OvB1QXuGMstYA,chinese,Chef Yu,544,3.0,0.07280763983726501,1.0
c869kkUkjPM5nSGeJqVosg,japanese,Ooki Sushi,245,3.5,0.07637424021959305,1.0
Isda3V_1L9cjkJ2Jiz8dhw,american,The Bedford,339,3.5,0.1250699758529663,1.0
AVlPC5AQX_qQMEf02H-wug,american,Juniper,501,4.0,0.6863548755645752,1.0
4Jp0wdJXLpmgCwWv6o6YEQ,japanese,Torishin,247,4.0,0.3885115683078766,1.0
kXuubLd6s3GidpqU3psPdw,thailand,Chao Thai Restaurant,356,4.0,0.5902709364891052,1.0
zUv1BNm_a9-3DkxrCG3tng,american,Friedman's,509,4.0,0.6495673060417175,1.0
MHbxF-ZS918-ZoXKQPBEyg,italian,Sotto Le Stelle,158,4.5,0.7639965415000916,1.0
JDv_pfBjuaU3BR7GC6GxRQ,chinese,Yummy Yummy Chinese Restaurant,37,3.5,0.05020492896437645,0.0
Neiw4AB_s7BpLSxyUrSXBQ,japanese,Sushi & Noodles,117,4.0,0.3171965181827545,1.0
i6RhqnCJ_oUfTu5LikGXUg,chinese,Dun Huang - East Village,136,4.5,0.6896992921829224,1.0
9K8VhYvIA26AFMQY8S1soQ,thailand,M Noodle Shop,346,3.0,0.021875206381082535,0.0
d8qCvlsG3jwxQPZc_OGogQ,japanese,Hibino,382,4.0,0.5166136026382446,1.0
rJJiGJx3kfMAxtD7P7okHQ,italian,Celeste,866,3.5,0.5966693162918091,1.0
lmuX1DybRvpt9LDMHUuKAA,italian,Carrabba's Italian Grill,182,3.0,0.018122361972928047,0.0
MvmuCDXPliFUYJ7B7Y02AA,japanese,Menkui-Tei,1026,3.5,0.7591776847839355,1.0
SBy46BviyBKowPjbTjDsHQ,thailand,Lantern,430,3.5,0.21310757100582123,1.0
4K0doiBddco60kl0W04a3Q,italian,Il Forno Hell's Kitchen,202,3.5,0.08242075890302658,1.0
HdYmIA2jRBbKnU1mGJ9a3Q,american,The Quarter Brooklyn,146,4.0,0.3380715847015381,1.0
xbrQ2dHuQoFJmNxAuOky4A,italian,Vic's,397,4.0,0.5824224352836609,1.0
cUJQU0enEjgbQjV8CDRfJQ,italian,Sant Ambroeus Coffee Bar at Hanley,15,4.5,0.69148188829422,1.0
15d_Y6TVOQFD2KRVkxuAjw,italian,Baci & Abbracci,280,4.0,0.46581557393074036,1.0
Au0ln1sQbBSSUuY9kXhv-w,british,Home Sweet Home,396,3.0,0.045032549649477005,0.0
Qwd4Tv-CqgO2Yl9zZgkKOQ,chinese,Shun Lee Palace,272,3.0,0.023794513195753098,0.0
phfxciZ6-Hch_HbW_tvm_A,mexican,Villa Cemita,287,4.0,0.4742768704891205,1.0
feY7PgoRjCp2qReaIitRkQ,thailand,Boran,104,4.5,0.7500377893447876,1.0
JiFp_mv7OgRonaWb-1n96A,japanese,52nd Sushi,106,4.0,0.2934335470199585,1.0
oVdiFY9zSvgW0u-J0DoKbw,chinese,Chifa Restaurant,83,3.5,0.05930547043681145,0.0
