id,cuisine,review_count,rate,score,best_answer
WqmqQ8c9NivfIRn3sO2KiA,american,359,3.5,0.22164127230644226,1.0
TzVVPWK_4dhdSEpNqZwIhQ,italian,198,4.0,0.3904372453689575,1.0
uXbm5anCKrg_wmzIwEOR7g,british,181,4.0,0.3484405279159546,1.0
5IR02V3Bbkcbs14yfKNDTQ,mexican,119,4.0,0.40058058500289917,1.0
cGqMEMQFtkB3hIGfLy2R3A,italian,961,3.5,0.7129294872283936,1.0
zb78ua-FlfFRj8v082giBw,chinese,108,3.5,0.08278412371873856,1.0
CaFkfhLxjzPAxS9-G6lNVg,mexican,217,3.5,0.1019396185874939,1.0
wurhcLKXD4YJ5XfTxpbE5Q,chinese,426,3.5,0.17463409900665283,1.0
p4TYRKQ82N5Ntb6RPdLPMg,italian,164,4.5,0.8309028148651123,1.0
J9xVQScnr0lYWl61_mLXMA,italian,900,4.0,0.9110870361328125,1.0
2YkqGzOldh-gcSSFkvP44Q,chinese,226,4.0,0.35158711671829224,1.0
Pe523YW00TNclG19HYgbIg,american,100,3.5,0.06942853331565857,1.0
1LIptXhtDh58vAA-QPFL4w,mexican,1296,4.0,0.9891782999038696,1.0
5hzBBS8u40nmcY_zmiq7dw,italian,1,5.0,0.9403064250946045,1.0
WIj12zDqIbBucW1hXYhrew,chinese,220,4.0,0.34606418013572693,1.0
9yTnfgbCENMZUUAlY1ym9g,mexican,327,3.5,0.14933791756629944,1.0
6ycMkuiDwmvJKYbSP-24Cg,american,2,5.0,0.9074617028236389,1.0
LJwkhP2vjRKKjyuRY1ql4Q,italian,302,3.5,0.16192513704299927,1.0
l5_AVUx_Er6nl_YOu4RJrg,british,443,3.5,0.25894004106521606,1.0
4c4Uwb5yUqXJ-inkcDinIg,mexican,259,4.0,0.4929210841655731,1.0
bTuXY73qdFhl6Nr0x_uIwg,american,53,4.5,0.6304814219474792,1.0
wXYSjd-tYEEFErI6RIDEYw,italian,70,4.0,0.3514247238636017,1.0
RQRQOO_CGhj16AIz4KqlQA,chinese,22,4.0,0.23515881597995758,1.0
-tQ9Zlb5d9PPlDz_6UgV7w,italian,350,3.5,0.1783098429441452,1.0
ei_lqYcPN09_mxR4nPZcVg,british,173,3.5,0.07152441889047623,1.0
6ujYWjs1FTksvuVxuzjUYA,american,978,4.0,0.9311097264289856,1.0
zjnnccSIpMdx5fN-MxAr_w,mexican,542,3.5,0.3338119089603424,1.0
E_oFzRY-7j9T04qHkORCsw,mexican,156,3.5,0.07459408044815063,1.0
oKtDrJA7uaRvbrgBhF4Q5Q,japanese,364,3.5,0.13595707714557648,1.0
eby9pE6FzmwjoYRVzDpzew,italian,59,4.0,0.26717206835746765,1.0
Ve6GVzzJpR5QIIPdcn6ViQ,mexican,790,4.0,0.9086382985115051,1.0
WHQpLvxkCK_BMtF8pIShnQ,italian,944,4.0,0.9326439499855042,1.0
2AFr9Q5cfWh_lkj2ChykDg,chinese,31,4.5,0.6760746240615845,1.0
siAb_uf13RIYW52O-auTpQ,thailand,306,3.5,0.15466293692588806,1.0
vsQjfOXS10MQ8_CZ3amhVQ,mexican,241,4.0,0.43769368529319763,1.0
X2mfQ5SOE5eMuUzPrI_pwA,mexican,675,3.5,0.4782596826553345,1.0
RBpwDqMpajBLLjMKOPrUxg,chinese,87,4.0,0.28931307792663574,1.0
w75Qg2i02FPNN6HQ2yKS_w,british,452,3.5,0.21629302203655243,1.0
V7_IQ1ab69JilAlgrSnMXg,mexican,249,3.5,0.1308775544166565,1.0
9pgUx3dpxlT8WBuX1gFNbg,mexican,10,4.0,0.24449069797992706,1.0
NcHnZbq06y9llCt6ayf_Jw,mexican,215,4.0,0.41447708010673523,1.0
x9wa2M7gvf32swUSBP3uXA,mexican,743,3.5,0.5802463889122009,1.0
f-sL-VgQzte0StcqI3KkJw,american,237,4.0,0.4014852046966553,1.0
2rqb2T5IS2D7A6UB5QwNKw,chinese,269,4.0,0.5167160034179688,1.0
YdAtCf_13UK-uvXuOMrhNg,chinese,156,4.0,0.40199151635169983,1.0
2kPGo5wA33eBJj-OzA96tQ,mexican,123,4.0,0.35153430700302124,1.0
B5DVYcAYXqesHAMXurtKDQ,british,448,4.0,0.5961461663246155,1.0
NGzwDLroGL4JvG81BWliNw,italian,46,4.5,0.7330974340438843,1.0
I88yY961UgIdKKJ1wKZI7A,mexican,1,5.0,0.9150915741920471,1.0
zn4PW7NVdgCvg7vxVXQ_Qg,british,984,3.5,0.7290276288986206,1.0
GnaeBuilZb_fU01v3wNhZw,italian,378,4.0,0.6349434852600098,1.0
55jx0bYJ-odyqKKSrDXtPA,chinese,118,4.0,0.27897271513938904,1.0
xlr1KcIeILEZXSRy3OycDw,american,4,5.0,0.8959738612174988,1.0
7sfNt4EmWJ61WrdIExB2Ww,italian,93,4.0,0.276852011680603,1.0
XVbFdJaSEECQdU0nDyUOug,british,443,4.0,0.687343955039978,1.0
HO8vjBAFY3GU1erXMZ_UbQ,japanese,81,4.5,0.7035462856292725,1.0
23NSOmpzzrJTfWmYk8Lp4A,thailand,324,3.5,0.14694851636886597,1.0
emTmnLlesIwxRofQ34ntdA,british,822,3.5,0.6456596851348877,1.0
rAKTm3QwNgrIcex6ReQC2g,mexican,184,4.0,0.37276560068130493,1.0
HV5DMBmEpQ_Nu6NSekJquA,italian,224,3.5,0.09183740615844727,1.0
XKDHsS8PevoEdFLNtt05FA,japanese,227,4.5,0.7717853784561157,1.0
6hw4ibsutVoMl_RK0aAJ7Q,american,155,4.5,0.8035489320755005,1.0
3CJS_XdfehpzzVhocOCFVw,mexican,39,4.5,0.7132264375686646,1.0
uuHujhrkVQdS8XVSGWW2mA,american,611,3.5,0.4196704626083374,1.0
7pvTicRAhXB1Ld74MWjkXQ,italian,264,4.0,0.5075129270553589,1.0
gk9TTbVQxBPMRm66xR9l6A,japanese,76,4.5,0.6621221899986267,1.0
ypqK8DWM8Bcs43YveSJnNw,american,217,4.5,0.8091937899589539,1.0
_A9wLSvvbGNt_IcBaO9nCA,japanese,156,4.0,0.29536089301109314,1.0
juoHZs-uMmqW4gQ1iISvxA,japanese,525,3.5,0.21000774204730988,1.0
Rc1lxc5lSKJYd162JHNMfQ,mexican,2215,4.0,0.9997382760047913,1.0
BvnEhQ_8Db95Kf0ZGa4s7w,american,172,3.5,0.10370340943336487,1.0
MlOdJ9tK3idyXGR4Yo7ttQ,italian,120,4.0,0.3710269033908844,1.0
sNeefaiRztDQ10B4QzUi3g,japanese,62,4.5,0.6220396757125854,1.0
z2DiS0p6Qp9Hi7MXYbo8zg,mexican,1,5.0,0.9333339929580688,1.0
m86CNmYThtzzWB3nPnrhbg,italian,435,4.0,0.59891277551651,1.0
cwCOymiUPoB10Q-gtd6sWg,mexican,29,4.5,0.7161495685577393,1.0
vjubSxmdG_HoBBgd39geBw,italian,1058,4.0,0.9669445157051086,1.0
3wKhPtE-PmeuOdnYVS9yxQ,thailand,154,4.0,0.3385980427265167,1.0
79-I5OTfhsfPCZGgcB4J5A,japanese,238,3.5,0.10901810973882675,1.0
-bdxB20YveudeyL63chscg,british,576,4.0,0.7750895619392395,1.0
TJCyocLYrUBfbf8r0DaBXw,mexican,190,4.0,0.38581886887550354,1.0
WueXPnaTvM_R5UuPjxbbQw,thailand,198,3.5,0.0799628421664238,1.0
Lw044EfH1h3XhUhri3ExfA,american,512,4.0,0.7369621992111206,1.0
kDJbzzmCEjFbyDQ-lSygvw,italian,378,4.0,0.5379477143287659,1.0
HOEjrJUwKBxSmQRVSILS8Q,mexican,306,3.5,0.16733556985855103,1.0
q7U2GCMWIZxIqWeMDml0LQ,mexican,219,4.5,0.8619803786277771,1.0
Jb6g3-HKC__8X1i-PcekJw,mexican,501,3.5,0.33167144656181335,1.0
4FtqGBB96denVJu8KnuGKg,british,369,4.0,0.6485878825187683,1.0
fPGQCIro68M6xHu1tmdfpA,american,180,4.5,0.7912681102752686,1.0
D65eObUbArHu6UiQsUasgw,japanese,792,4.0,0.8929336667060852,1.0
qbLLdO0VEAWXGnygtQfoDQ,chinese,77,4.0,0.2911589443683624,1.0
Im3hUrLWhsavRg-9OwMi1Q,italian,118,4.5,0.71253502368927,1.0
5ghrfSMoy3HKtPxwyV_F0g,american,422,3.5,0.19801056385040283,1.0
0Jr2OP0B2MM4LvJY_K6cTQ,italian,248,4.5,0.8661354184150696,1.0
Irajo1p3HkygjlhDiIZ_hg,mexican,19,4.5,0.7024068832397461,1.0
6AJwsgXr7YwsqneGVAdgzw,mexican,237,4.0,0.5308412313461304,1.0
9oyE5T8P3YfTYjKrOn-i3w,british,465,3.0,0.06651664525270462,1.0
opA6T-cCCdBmixRs_3Q3Lw,mexican,3,5.0,0.905480146408081,1.0
CfhEaGySVsORQbem4_y1Wg,japanese,14,4.0,0.16555741429328918,1.0
442I5u02L3adihIF-p8v2Q,japanese,89,3.5,0.07025612145662308,1.0
PYcL2z9gHj6-ZTlViT9Nqw,american,2083,4.0,0.9992730021476746,1.0
yoPMDATGXh_8NR7I0SW1gw,american,308,4.0,0.5522673726081848,1.0
vGR-OFk8QWOhdq6vZGxNHA,italian,15,4.5,0.6290343403816223,1.0
kwqOmEwWJ0D9PyCdFGE3-g,chinese,650,4.0,0.8098708391189575,1.0
XO3yD87rTPz9o6Dy9qRaJg,british,201,4.0,0.3439500331878662,1.0
WFx1VcopQGjW7jbERZUUbA,thailand,141,4.0,0.2851518392562866,1.0
gvWzAiMrFm9AgfSN2I8Miw,american,371,4.0,0.5058702826499939,1.0
SUVMcqAwPHhcRMtfv_djRQ,mexican,333,4.5,0.90499347448349,1.0
E5EulxzB5vzP3NXmKvpv-A,british,135,4.0,0.3370298445224762,1.0
VlaFY8ASgOvrzZ3I8sG6Dg,italian,170,3.5,0.09799330681562424,1.0
kj1rtdt2Omf56nHO0CObxQ,mexican,13,5.0,0.9245999455451965,1.0
u3JBjUgrCdxy6WF0tnX3SA,japanese,412,4.5,0.8945966958999634,1.0
LDScBEu3splSQlhGBEH2hg,chinese,140,4.0,0.3399711847305298,1.0
6OWMji5GiqRlRPZSb1lJ4A,chinese,208,4.0,0.3252745568752289,1.0
VQ5YGa4L4AT3ugF61hM9qQ,chinese,19,4.5,0.6307675838470459,1.0
WdrPI3wo7wOD2ad2cSjPeQ,italian,161,4.0,0.3676050007343292,1.0
nHMDOIX32dGbfpuNUwsLNQ,italian,371,4.0,0.5781151652336121,1.0
6kCo3xb87Sc3Aa5ZSWzNnw,chinese,324,3.5,0.14469444751739502,1.0
DybR3L6G9zVTQ1eeP0hG_g,american,41,4.5,0.6180859208106995,1.0
etIbdlTKz2yLkvr9MWNPvw,japanese,320,3.5,0.14816197752952576,1.0
c8FID4VcTtDDONokhACvfQ,british,356,4.0,0.5503537058830261,1.0
TgoYhgbPCYhLBNtpue3QHg,mexican,849,3.5,0.6434082984924316,1.0
5zO24ZKYVnca0jbY2gpIzw,japanese,86,4.0,0.22276154160499573,1.0
a3O2KzK6rh8VZNq1jhz81Q,british,555,3.0,0.08026716113090515,1.0
K0qsGnFv-edPDqVBdLCocQ,chinese,63,4.0,0.2695711553096771,1.0
RjeW_l8OF99rn5df5-Rj4g,japanese,1017,4.0,0.9431219100952148,1.0
HrdIdeDZBTUdyEdSTPG1zg,american,769,4.0,0.8759247064590454,1.0
VVe74-TKuROBvyS1XgVmvw,mexican,338,5.0,0.9770438075065613,1.0
r_QyrpiVTXFva14r0mB_OA,italian,266,4.0,0.41946470737457275,1.0
t7BIiUN0tFg33kySuuQ0aQ,japanese,307,4.0,0.5439668893814087,1.0
iPlaqfZfoOrG1f_tMpDTsw,thailand,294,3.5,0.10221602022647858,1.0
