id,cuisine,review_count,rate,recommended
1_pK5aQ47atF50oAKHADhA,thailand,473,4.5,1
qHi_FA4zSEkFshXQ4Chc9A,chinese,3,3.5,0
JlpVZdT1V-Pd5y3LH0xBPg,chinese,3,3.5,0
eA64YkTdF9QZwrPtXBBSkw,japanese,6,3.5,0
jEkqVhK6lSfTR6Hw564CDw,american,10,3.0,0
SP4bvMvxel_UPdof_er3HA,mexican,451,4.5,1
C5lP--2smxLLB9UCmoq5eQ,mexican,8,3.0,0
CFUaimcfs4q8Y7vCkxraHg,chinese,4,3.5,0
239gkHS4sotgrs7cK7QT-w,chinese,3,3.5,0
r3bwyyc48GoqIFYLd4gOXw,mexican,3,3.0,0
qLLxS7RwNEjP_jq_KQrPfA,japanese,1811,4.5,1
xsU6Gs5m89_u2d7G75s4dw,thailand,5,3.5,0
Zs-IWJ6vpGK3GcmFrBecXQ,italian,6,3.5,0
k5BZq7XdRFr4xMbZMMGxxg,mexican,3,3.0,0
5a1e4YegoUkikCuU208w8w,chinese,1,3.0,0
6Ct7OeTRn4caY9g0swFBsw,mexican,670,4.5,1
wSGZA3DOFSUvALZRKCM_Sw,japanese,585,4.5,1
LpVbI-E9C-CSp7WhU5h2Iw,chinese,491,4.5,1
BPZfuPvSxCfoppU4lPFm0Q,japanese,822,4.5,1
FlZ1zdVEKWv7dwqm8Uw8-w,chinese,847,4.5,1
z5hRX3iJ5Ty_S38iG_WY3Q,mexican,1462,4.5,1
ugIv_ylUdqRIlx6AD8lTJA,italian,576,4.5,1
mESab-FqL5QqSVsnX72asQ,japanese,980,4.5,1
VqawuFujOKEIvFAKE3nqWw,american,3,3.5,0
f0a8KLFrijzkzaYacWT9Iw,american,2,3.5,0
ADHX7nBixDPVlq3OXhny0g,italian,462,4.5,1
upEljMinfeX9q5jtZPSA0A,chinese,8,3.5,0
MJwyoXJrN7UmqWcWQ5rG1w,chinese,6,3.0,0
3Ic4C60oSH1cV2jknUXSjQ,american,725,4.5,1
9pMhRYYgV7E9L7pzECtJKA,mexican,873,4.5,1
Aazjxg21VH2cncWYBAv68Q,italian,577,4.5,1
kJN998lZUKPbzYX3qSLc5Q,british,2,2.0,0
WqjqHMozyW42XLTtLnKGag,mexican,699,4.5,1
YGdl5Bb2ONrtixvgv1P26g,chinese,1,3.0,0
WKDdD8Z17-P1XhkyJtDEFA,american,850,4.5,1
EMRVTED2AjIZnyGr9UsCKA,british,1,2.0,0
mqlmAxvp0b1jEL-mWN4dVg,mexican,10,3.5,0
3oDDddw8eggbiEkthCRK1w,mexican,3,3.5,0
M1VHR29gMNs3EavDXdE_PA,chinese,3,3.5,0
X8ZS-dgiMIJvhwf9SaDnjw,chinese,1159,4.5,1
XipQLDbyTl5tsLlyzAWzug,mexican,636,4.5,1
unWoFZeSWa0DK1YMekO_Uw,mexican,565,4.5,1
r--VG0XCkbqRx8-CDhzaLA,mexican,7,3.5,0
_gzXNKarTxagBp6_PkmQKw,british,1527,4.5,1
f8TZ_ctcSwxwW8S69YKnwg,italian,1191,4.5,1
s3I5FZ-4Awiyph58ijD8Xg,chinese,4,3.5,0
4Objcs7HXSGuzpb0SOa-Jw,american,947,4.5,1
sGd1ZiC4bW8m6TxxyhM_Pw,mexican,5,3.5,0
O-zwQQV8AExgdPoJiqjpDg,thailand,613,4.5,1
EZZh8594pRwAM1e_WVGeFA,mexican,4,3.5,0
0YE7vfpxTAiWvis8kpFGYw,japanese,2,3.0,0
txSykTj5nbwmpiVNoK_Dyg,mexican,895,4.5,1
jHd7KHMvpI53bZyL9UGTug,mexican,11,3.0,0
JUPxlDVMxuRSsqMcH6RCVg,japanese,1519,4.5,1
SMGsYvfRNIlJc8ZgUjXQow,british,9,2.0,0
j8cKSxr6aQ8qTx23FLyyiA,american,475,4.5,1
MphfKkYFEe0BDQ6hZ0A5fA,italian,709,4.5,1
MfbVI5reXLIIs8Cc2HwgQw,mexican,1498,4.5,1
3X-4PyyktdlauGFQ0wdDnA,japanese,8,3.5,0
s3jou_L_LVYGkNHiuhjlew,mexican,987,4.5,1
