id,cuisine,name,review_count,rate,recommended
C5lP--2smxLLB9UCmoq5eQ,mexican,El Patio Mexicano,7,3.5,0
VqawuFujOKEIvFAKE3nqWw,american,1605 Bistro,3,3.5,0
difsr3Yw5VVY0FyIu6Un4g,mexican,The Garret Nolita,6,3.0,0
c3D2ckzacnPtdGIM8tb-_w,italian,B Side Pizza & Wine Bar,987,4.5,1
36RURbd4JcyJfaq8pRbvXw,chinese,Golden Imperial Chinese Restaurant,7,3.5,0
1_pK5aQ47atF50oAKHADhA,thailand,Indian Accent,473,4.5,1
BGxPQKWgcNcFgn0sb9msLA,chinese,Ollies at Hiro Sushi Inc,6,2.0,0
OLa3-KQO9rHjswo55E3Jgg,italian,Trattoria La Sorrentina,491,4.5,1
CFUaimcfs4q8Y7vCkxraHg,chinese,Gordon Chen Kitchen,4,3.5,0
V_5IS9PY4tjmYk95lDWfgg,mexican,Tequilas Mexican Grill,7,3.5,0
Q9F2ocrmYuGt1yn3M7MOBw,italian,Lucali,1291,4.5,1
3X-4PyyktdlauGFQ0wdDnA,japanese,Yume Japanese Funk Bar,8,3.5,0
QZY3xdZvrhfBLPRVr6ryiQ,chinese,Lucky Star Restaurant,9,3.0,0
gvAzBcK3YZf6UQqOerqF2w,chinese,New Dragon House Chinese Restaurant,4,2.5,0
3oDDddw8eggbiEkthCRK1w,mexican,La Mexicana,3,3.5,0
XipQLDbyTl5tsLlyzAWzug,mexican,Jajaja,632,4.5,1
_LJFf9YqpYxvExTvVxb7Rw,american,The Modern,925,4.5,1
MfbVI5reXLIIs8Cc2HwgQw,mexican,Breakroom,1498,4.5,1
axqp3pGJXnTLgq2QrPyDyQ,japanese,Benemon,468,4.5,1
hmpim7DjbEBiNPKSlWpcTQ,japanese,Aizumi Sushi,5,3.5,0
ZTsN8TdMXl8SW_AKd_ablw,italian,Forno Rosso,584,4.5,1
9pMhRYYgV7E9L7pzECtJKA,british,The Drunken Munkey - UES,872,4.5,1
SUX3TMbaCOUZeR0CTHcqnQ,chinese,Khalil Halal Chinese,3,2.5,0
A2DV-AQIXRYUMu5Ak5mjxg,italian,Patzeria Family & Friends,931,4.5,1
jdNdy-MwBtnXoBGC_JVvwQ,italian,Gaia Italian Café,935,4.5,1
ETgJqJHV7BW6pIr9Ox74sA,italian,Amélie,2414,4.5,1
6Ct7OeTRn4caY9g0swFBsw,mexican,La Contenta,670,4.5,1
zj8Lq1T8KIC5zwFief15jg,italian,Prince Street Pizza,2652,4.5,1
JRiHG5F7Dc3Ce1YKBet3wA,mexican,Abajo,7,3.5,0
f8TZ_ctcSwxwW8S69YKnwg,italian,Il Bambino,1192,4.5,1
g5xFiAuPcnPjGr4Vur50qg,mexican,Tortilleria Xochitl,3,3.5,0
iNiq1vgWpEa48jlPAce8wQ,british,The Thirsty Koala,1008,4.5,1
-w4biAdR3WM63HlRSey1Ew,chinese,Jak!,6,3.0,0
FlZ1zdVEKWv7dwqm8Uw8-w,chinese,Raku,846,4.5,1
1vNfnjJjLSnXQxFUIqUocg,japanese,Kobeyaki,2,3.5,0
r3bwyyc48GoqIFYLd4gOXw,mexican,Casa Masa,3,3.0,0
laiRlkG_gfzPqLPK4gQy1g,mexican,Fresco Tortillas,2,2.5,0
tLk55gBN_UV59tVrvBABUg,chinese,Good Chinese Cuisine,2,2.0,0
ADHX7nBixDPVlq3OXhny0g,italian,Faicco's Italian Specialties,462,4.5,1
4CAJ-JvgbzBdoWq1CXtCFw,japanese,Umi Sushi,545,4.5,1
aZOXAuksT-zYgZdrTYXyVQ,mexican,Burrito Mariachi,7,2.5,0
3Ic4C60oSH1cV2jknUXSjQ,american,The Flatiron Room,725,4.5,1
