id,cuisine,review_count,rate,recommended
Wx6lMnEh7dCmX-9PQF1Ifw,mexican,1761,4.0,
xemN4tP9RlK5c-yUT-M71Q,mexican,884,4.0,
6Ct7OeTRn4caY9g0swFBsw,mexican,670,4.5,
_HxxUvRp-0FMH_RoEzG1TA,mexican,162,4.0,
ihzI-4yGesoQuAoIocao8g,mexican,555,4.0,
7bD22UAtH56ikWYslOSIQg,mexican,558,4.0,
sTu5z5HUcIYykg97HHj8xA,mexican,792,4.0,
XipQLDbyTl5tsLlyzAWzug,mexican,636,4.5,
Xjswj531-FkRZPpcccU6kQ,mexican,789,4.5,
PAJdNrD4HFBN16OAFeDx4A,mexican,474,4.0,
9aJ1MVTthZw3QjqoG7mPjg,mexican,607,4.0,
RzKR9QcYP03EQ_8DxTxowg,mexican,1068,4.0,
IfIyjm4SfORGYPbaAWST3g,mexican,359,4.0,
xGNzAsakHgbbl9fwgSoiUg,mexican,49,4.5,
DFRpXRHjOHBxYHiuvwaEQQ,mexican,1112,3.5,
pG-IkylRFOb-HlaD8NwvvQ,mexican,288,4.0,
ue-iu3tMiHAv7JR0YuhOww,mexican,368,4.0,
BbMUXd69i0tlWS2aoppwaQ,mexican,645,4.0,
XO6IbZn2oxonPrfcXHK4HA,mexican,181,4.0,
hGWYNCUmDLk_H_Mu3oV9HA,mexican,1478,3.0,
9_CEU7Wmvmwlyvqr-PJD6w,mexican,913,4.0,
ci0-GO_iMb0NdTCUYWjocQ,mexican,308,4.0,
xGoSAOhQBNdJMJmPn7CMDQ,mexican,422,3.5,
7CfaiHE11MO2zAiu3w6bsw,mexican,183,4.0,
SULHf6nGQ8sK0UpG1XU30w,mexican,1072,4.5,
BdHWUmVFuo1R8Lctv4K1Ow,mexican,414,4.0,
tvqtAjAyc7dplVVwhw3VZQ,mexican,138,4.0,
uLWp1QR_W2WJImMnB706hg,mexican,246,4.0,
UH_aksIxzGPPyhWZJbTP7A,mexican,439,4.0,
xWLSJOiN1mMRHmBmHyjAfw,mexican,300,3.5,
BxnrBKdLwdaEXyq97uxgKg,mexican,315,4.5,
Jb6g3-HKC__8X1i-PcekJw,mexican,501,3.5,
dYWjNK07igws9jFNgQmhng,mexican,1401,3.5,
NOh24SMS6k4pzNv8Ds7KDg,mexican,3089,4.0,
DTKKEogIt2wQm4UULYVGug,mexican,816,3.5,
jnEv25Y2DosTq2sNnvmC9g,mexican,2623,4.5,
1nR3kKOs938gcgnw6p5wjg,mexican,774,3.5,
WyiTT3VHjzowMnOnUpZ7TQ,mexican,293,4.0,
DQuwci5xgJxXx7dxxp9FBA,mexican,381,4.0,
V9jFJfuK3FzWCJGoY15EgQ,mexican,204,4.0,
M1YYZ9cTVuMXLji_XF6rzg,mexican,1104,3.5,
_Kc_mFOk7zMPDcDhkdJE7A,mexican,415,4.0,
B6bEkY9sJ_GU2pD2Rwb4gg,mexican,427,3.5,
tuP7STBjszTvKcQLeFMnkw,mexican,266,4.0,
kn9rgR4KlvyTTi-s76OIaQ,mexican,369,4.0,
oSFL1AVZYouS4YrDjoLyLA,mexican,585,3.5,
ry7XCoXXxS0DxRmzZLFybw,mexican,47,4.0,
GdZNFFSSnpmOn12Bd6XoEA,mexican,23,4.0,
NcIUA8l_kmbPEwqI9lzELg,mexican,610,3.5,
TgoYhgbPCYhLBNtpue3QHg,mexican,849,3.5,
FkA9aoMhWO4XKFMTuTnl4Q,mexican,219,3.5,
AUm7If5Cbvy20AnmyxE-xA,mexican,64,4.0,
7l0uy47dEHXg2S1lA1s-EQ,mexican,64,4.0,
MfHEjRvZVplBVQyLC4wQOg,mexican,25,4.5,
0W0m68TNPbodGCA3PhIB4w,mexican,486,4.0,
ueL0t_7Yu_ev2RrWK9dgDA,mexican,101,4.0,
V5hpSbA41oFAIzvZlv_1vQ,mexican,200,3.5,
nrwOQSXoRXfAYhkdjiUk8g,mexican,122,4.0,
boRM4i0UQswxQIp6CA9y_A,mexican,1939,3.5,
PqqnNrUtU7XTKQvUM4cyqQ,mexican,146,4.5,
54hPnm8Z4rJST1CZWaOznw,mexican,545,4.0,
zscLFr_wQUmSRGkup2YjpA,mexican,66,4.5,
