id,name,review_count,rate,address,zip_code,coordinates
Wx6lMnEh7dCmX-9PQF1Ifw,Toloache 50,1761,4.0,251 West 50th St,10012,"(40.762325, -73.9855741)"
xemN4tP9RlK5c-yUT-M71Q,Mamasita Bar & Grill,884,4.0,818 10th Ave,10019,"(40.76733, -73.98945)"
6Ct7OeTRn4caY9g0swFBsw,La Contenta,670,4.5,102 Norfolk St,10002,"(40.71873, -73.98691)"
_HxxUvRp-0FMH_RoEzG1TA,Barnacho,162,4.0,920 2nd Ave,10017,"(40.7540321350098, -73.9688491821289)"
ihzI-4yGesoQuAoIocao8g,Tacuba Hell's Kitchen,555,4.0,802 9th Ave,10019,"(40.76545, -73.98729)"
7bD22UAtH56ikWYslOSIQg,Calexico,558,4.0,1491 2nd Ave,10075,"(40.77259, -73.95588)"
sTu5z5HUcIYykg97HHj8xA,El Centro,792,4.0,824 9th Ave,10019,"(40.76602, -73.98688)"
XipQLDbyTl5tsLlyzAWzug,Jajaja,636,4.5,162 E Broadway,10002,"(40.7141530317142, -73.9904247969389)"
Xjswj531-FkRZPpcccU6kQ,Vida Verde,789,4.5,248 W 55th St,10019,"(40.7650089, -73.983215)"
PAJdNrD4HFBN16OAFeDx4A,Ponche Taqueria & Cantina,474,4.0,420 W 49th St,10019,"(40.76319, -73.99045)"
9aJ1MVTthZw3QjqoG7mPjg,Rosie's,607,4.0,29 E 2nd St,10003,"(40.72492, -73.99079)"
RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,1068,4.0,253 Broome St,10002,"(40.718022, -73.990026)"
IfIyjm4SfORGYPbaAWST3g,Mexicue,359,4.0,225 5th Ave,10010,"(40.7434728927194, -73.9880464381069)"
xGNzAsakHgbbl9fwgSoiUg,Kahlo,49,4.5,525 West 29th Street,10001,"(40.75218, -74.0026)"
DFRpXRHjOHBxYHiuvwaEQQ,Rosa Mexicano,1112,3.5,61 Columbus Ave,10023,"(40.771085, -73.982776)"
pG-IkylRFOb-HlaD8NwvvQ,La Loteria,288,4.0,29 7th Ave S,10014,"(40.7307865530978, -74.004135953373)"
ue-iu3tMiHAv7JR0YuhOww,Hell's Kitchen,368,4.0,754 9th Ave,10019,"(40.7638823425707, -73.9884334000586)"
BbMUXd69i0tlWS2aoppwaQ,El Camion,645,4.0,194 Ave A,10009,"(40.7291, -73.98105)"
XO6IbZn2oxonPrfcXHK4HA,Casa Mexicana,181,4.0,894 Amsterdam Ave,10025,"(40.7989892, -73.966955)"
hGWYNCUmDLk_H_Mu3oV9HA,Dos Caminos,1478,3.0,825 3rd Ave,10022,"(40.755878, -73.970383)"
