id,cuisine,name,review_count,rate,recommended
iM_iGK22awAUWveNbX9j9w,italian,Biga Pizza Italiana Contemporanea,40,4.5,0
XI8c4klXYX0b3MV8n8Kteg,mexican,Cienega Las Tlayudas de Oaxaca Mexican Cuisine,33,4.5,0
GJZnf3B-ADjlCV1NXsHvGQ,chinese,Tang's Garden,94,3.0,0
GOLqh9i4qeqcj2Q3DJ3AQw,chinese,Matsuya,4,4.0,0
AanNkr0fdlLXtUzjqwbcvw,japanese,Mitoushi Japanese Restaurant,144,3.5,0
ydjApPbEDF-hXbdxlus4jA,japanese,Umi Sushi,562,4.0,0
IdjSR-GQAxQD0poZ3rSueg,italian,800 Degrees Woodfired Kitchen,69,4.5,0
jhyg04zQZqW_HWLq5qjsMQ,japanese,Snowfox Cafe,107,3.5,0
rHA9M0XOJL6O11xaEiDurA,chinese,New Kam Lai Chinese,53,2.5,0
K_0tNvQd7gyabfJrodf-tw,american,Archer & Goat,14,5.0,0
-n5zd4kpmJdqKzvar-5v8g,chinese,Gogi Grill - Hoboken,182,4.0,0
4UXwPdVdaMJx1xWNNBlWNQ,japanese,Katsune Donkatsu Cafe,26,4.5,0
tvpkgdOyFFRGwwu8zyR36g,japanese,Sasa Song,91,4.0,0
Gun7lX-5SYRWzJsNsu-U6g,italian,Sant Ambroeus,125,3.5,0
C3UsLxRyuTM7bTKqs-R1qA,italian,Sistina,79,3.5,0
4PeBRQZgHMW80J5YIaT39A,american,The Loyal,147,4.0,0
P5gcdU1DX9M1V4W-V9o-wg,mexican,The Bear,17,5.0,0
lhEzTykkqFz92Vq2uILtyw,mexican,The Wren,498,4.0,0
BbODF2tZuw4xW_RFwMzwRg,chinese,Jiangnan Chinese Cuisine,40,3.5,0
Eyn7hQENF8R9DrBwBHO6lQ,thailand,Pata Cafe,46,4.5,0
jnHbdsqlTKlPcmJ8BCP9-g,italian,Via Carota,360,4.0,0
BsjtLd2sBV9Kg7YZ7sRq_A,chinese,Food Shing,40,3.5,0
GOLFLlO4bpndDkavbgrx9w,italian,Paisano's Restaurant,520,4.0,0
kqewBLuQDB3euc-s_mRf4A,italian,Otto Enoteca Pizzeria,2058,3.5,0
kRA14OZ6toDMR9mNPcHUlw,american,Bob's Steak & Chop House,68,4.0,0
9UkHgv9R3LakP0vNj6DMIg,thailand,Charm Kao,18,4.0,0
LKNhVc1VIt87NQL2wn9rnw,japanese,Suki,50,4.5,0
9AL3VA_4H_PMw0GPriIGQw,chinese,Tangra,31,3.5,0
-nPeW0rcWT9I3JBzo1_eWw,chinese,Chopsticks Chinese Restaurant,23,3.5,0
UOhnGQBzf2ISTHM4Bj5Gvw,british,The Wing Bar,322,3.5,0
5uTJ_4fWfT1ImuwCLN9xGA,chinese,Shanghai Best,345,3.0,0
yFtOtTd7ncSjFF3QavQ5cA,italian,Crispo,914,4.0,0
ebhDBwRzD--eoiYcO8M18g,thailand,Pho Thai Lao Kitchen,268,4.0,0
herb-gOpfjJGeiYWXb2liw,mexican,presto fresh mexican,4,4.5,0
-W5OVy_1GGoT_6_WAQzmsg,japanese,Akiyama Japanese Restaurant,77,3.5,0
1DT6XYMzcekpFQ41Hj44vA,italian,Luzzo's BK,164,4.0,0
EYjn8wQKq38xpesxSIG1kg,british,Left Hand Path,43,4.5,0
np98mkA22LYf6kCwCL59pw,british,Rabbithole Restaurant,755,4.0,0
vHtV8WkFec0mlWfDmm9R2Q,japanese,Wakamatsu,85,3.5,0
BWMQflKS9rpF13zgb_nJQA,mexican,Dos Toros Taqueria,4,4.5,0
CBsNd6iuSyiSMPw2pOzRHw,italian,Bar Italia Madison,114,3.5,0
54om5q7V4anmIXw2PdNJbA,chinese,Chen's Buffet Bar,31,4.0,0
b_2l7KaQ0_cyVFCwzvXplw,italian,Toscana,29,4.5,0
U7gqQHSRFNYCad3qGLj3yQ,japanese,Umami Sushi,75,4.5,0
5sjCvzf1ICjkgA8RAfWzqQ,italian,Farinella Bakery Pizza,152,3.0,0
5kufgNH-OuUBDPaDQIEtzw,japanese,Tokyo House,64,4.0,0
KyOtOluTH8c8SICpf85thg,mexican,Mesa Azteca,213,4.0,0
bWENqo52d9fFPH9D-CWuqQ,mexican,New Fresco Tortillas,44,2.5,0
ziwipi8JK_ik4mLaw1fTGw,chinese,Kam-Wei Kitchen,32,3.5,0
gTEBtsTbny8FjSCrnPbHqw,italian,Zero Otto Uno Cafe,89,4.0,0
wUu9WcGjP8KS6KlpARChyQ,japanese,Gyu-Kaku Japanese BBQ,408,4.5,0
2CyDPKUey42CuPowPlPTfQ,british,The Eagle,104,3.5,0
EvAJBgBdgOt1jx1EufRN7w,japanese,Jin Ramen,770,4.0,0
968r2kMB3ZWkyZxOm4XoRw,british,Copper Kettle Bar & Restaurant,139,4.0,0
y0c9_0Rn_MnhpInccrNg6w,italian,Vini e Fritti,0,0.0,0
gxEYxWqKVhs8xBw9Lvd7hA,chinese,East Garden Chinese Restaurant,51,3.5,0
30pqvzHrCNmnodJCRyzrTg,chinese,Snacky,176,4.0,0
_URXTaYBbd2XX5qJbDkKAg,mexican,Taco Morelos,84,4.0,0
v3qL3KqFJYuS_3rCsgpuXQ,thailand,Rain II,157,3.5,0
CFIOL_GmkAuJyz3fKc7WYg,thailand,Sky Thai,345,3.0,0
UlsRplz7jGbDLOOBi5X_ww,japanese,PokeRice,139,4.5,0
w7zQ47EyJ6R7K_TEWZnInA,american,Spring Streets Finest Deli,11,4.5,0
mosd9Voq5Ws6k6Uduii_ww,british,Bar Boulud,817,3.5,0
1oBUB-3_kCYDsggJqWq_GA,chinese,First Wok,32,3.0,0
AydiQxXWQLqVrZ9sEZTxtw,british,The Ship,304,4.0,0
M2bvOwAbCjLUvMbAF6h3-w,japanese,Sapporo Ichiban,217,4.0,0
sXA1aTe4MVUgBpQUiISAyg,chinese,Sawadee,491,3.0,0
iV4Qm5DnGChgrnbYG20ASw,mexican,Sombrero Mexican Restaurant,310,2.5,0
l1EdTmBBFzxQIZDftPZeUQ,italian,Ristorante Morini,263,4.0,0
pMUsX9vXcHcS9KTRbFewbw,mexican,Picante Picante,145,4.0,0
hg5LjqQ6pTM4U58nJiDylg,mexican,Habanero Mexican Cuisine,31,4.0,0
FkEVXH6-Mg1AHl-uV8832Q,american,KXBURGERBAR,50,4.5,0
E_oFzRY-7j9T04qHkORCsw,mexican,Santa Fe,155,3.5,0
r_QyrpiVTXFva14r0mB_OA,italian,Piccolo Cafe,266,4.0,0
NZaq_ygLr4N8-blY5dGx-g,italian,Paul's On Times Square,288,4.0,0
OY70rYTi8Qtmb89IWRUOaQ,italian,Ponti Rossi,22,4.0,0
La78lTOdzTrdFYTGXUp7og,mexican,Oaxaca Taqueria,360,3.5,0
cegA4jf16vEt7NCQ7cpu2w,thailand,Kin'd,395,4.5,0
ZlUU_DPlJTBLyUpBL2niKw,thailand,Luscious Thai,211,3.5,0
twHJyFgUSd7wzioKQjE7Jw,italian,Galli,821,4.0,0
LYp3izplqg0x-h9CBlb-MQ,chinese,China Gourmet,203,2.5,0
T8UC3NEU3UyCKLcXnWS0jw,chinese,Chinese Max,3,2.5,0
TU_BU9HLflYI2xlyqVQdRA,chinese,TAO Uptown,2448,3.5,1
bxju4seaE8hE-HpLrBomgw,american,Eats,410,3.5,0
mHBhUxHgDGjsB1LJl4qW0w,american,Hillstone Restaurant,1024,4.0,0
bTD-ZxjlvbWM3B8AAV64OA,american,Jameson's Bar and Kitchen,66,4.0,0
4Kqzy6WJBZ4Tc0cg6k2XNQ,italian,Vinny's of Carroll Gardens,195,4.0,0
5Ota_iMwlPLPrap-KfQrgw,mexican,Benny's Burritos,723,3.5,0
RdETxi25tbocKIcMiW5TxQ,british,Darbar Fine Indian Cuisine,516,4.0,0
7sW7ebi_A8gpECJe0ycQSg,japanese,Ichiban,45,3.5,0
Jcp-SJpnkhj_MD8-aDIHaQ,japanese,Ippudo 5th Avenue,257,3.5,0
mofqcbvp-MVFSynU1fQNRA,italian,Luna Restaurant,104,4.0,0
WE064Ln20S4MQVT1hETCCw,mexican,Canyon Road Grill,223,3.5,0
Fit_iIDn__NPVZpVlKFBFQ,italian,Osteria 106,76,4.5,0
4MqJOLaeqCgBFQmMFPfe3g,british,Clover Club,722,4.0,0
RnQjRZ9MJrBN9SKiIv3i-A,thailand,Amarin Cafe,257,4.0,0
DKLbMLQHvggfIKw2jj6rnA,italian,Felice 83,214,3.5,0
tuP7STBjszTvKcQLeFMnkw,mexican,The Great Burrito,265,4.0,0
0o0s6bUIuy0LTGNR3xYzzw,mexican,Dos Toros Taqueria,348,3.5,0
bfg1MmcnH6DO1dgF_tLxkA,chinese,Yeung II Sushi Asian Cuisine,179,3.5,0
0KeuqyRSUAYLwMI-3ZAZJw,mexican,Maya Blue,23,3.0,0
jt-0y4RJ20ONbkxxNWG_Sw,japanese,New Mizu Sushi,114,4.5,0
V2P3CWfUW_olSywlOlHGjQ,japanese,Asian Fusion,56,4.5,0
psqD5se4A0sv9Zn3PyUlcg,japanese,K-Bap,292,4.0,0
DaZ7-WpvtPkZxViVzt9pnQ,mexican,Flaming Burritos,163,3.5,0
_Acmtq5Nnv4Xmqmz914CUg,chinese,New Happy Joy Restaurant,11,2.5,0
UmY9dyGOclJ0tGbn1IozlA,mexican,Zaragoza Mexican Deli & Grocery,294,4.0,0
R3IrcACdEcsDr0c_b1eEng,japanese,Sushi Sushi,219,3.5,0
BCGZ-0WSLEuLviYJuUXWjg,japanese,Sushi Fussion 47th NYC,8,4.0,0
k4ds_s6y8S46WzVIolypLQ,italian,Serena's Wine Bar Cafe,113,4.0,0
8lLs3dsSN-Am2_EtNfbXqA,american,Community Food & Juice,855,3.5,0
TaiP-ad7115hSotsSC_PlA,chinese,C & L Dumpling House,144,3.5,0
2SCqfZsvDYUyDsv-3d5BBA,italian,Amore Trattoria,4,2.0,0
jL8f3gumMouGcQKr2M15Ng,british,Vol de Nuit,481,4.0,0
lFGWnF5Af8CwrbcvT27AuA,american,Bareburger,263,3.5,0
5TX0X8w5ssIACU_pnBEq6g,italian,Tony's Di Napoli,1888,4.0,0
g4Pwc2mE1yUYXhqPrm53zA,italian,Alex's Italian Restaurant & Brick Oven Pizza,483,4.0,0
pK-TQMe7SE_erplC9EWjUA,italian,Bella Gioia,186,4.5,0
NOh24SMS6k4pzNv8Ds7KDg,mexican,Cafe Habana,3089,4.0,0
qD7Ttf8FSL6bplLBwjvXXg,british,Finnegan's Wake,104,3.5,0
4yOiQMheUbc0spj0_viKiA,japanese,Han Sushi,97,3.5,0
yETcEIV9G7qxdwPdbivCmQ,italian,Piccola Venezia Restaurant,225,4.5,0
fz-d4WXR59kq42a-Lgmb7A,mexican,Aldys Restaurant,8,5.0,0
_7rU61c3WTVfPS_-FNup8g,chinese,J J Chan's Garden,108,3.5,0
hk3ohp_A4L4UgWTexDxf_Q,american,Gallaghers Steakhouse,967,4.0,0
vX0_qcuVXoeeH1_24I8lSA,japanese,Sushi Kaito,133,4.5,0
oEjWa3AETzPQfM3S1wRiLA,italian,Due,64,4.0,0
C7CFAdrczXxNhnN-MNJqmw,chinese,Niu Noodle House,649,4.0,1
afoHeLpkagNvjErwWqsbng,japanese,Quan Sushi,137,3.5,0
Yb6PQ_4YQpJ0SVZ1tetkbg,chinese,Queens Seafood Restaurant,108,3.5,0
efYELOeAJ-CjKpzayEfblg,italian,Cornerstone Cafe,1049,4.0,0
B0qxEXABa8-t9sY4NQRRsQ,italian,Fumo,1,5.0,0
5bLPXbIxIfkthkwiIu81CQ,japanese,Pure Poke,4,3.5,0
q8YAM38nAsVoRcWOER9I9A,mexican,Parrilladas Sunrise,35,4.0,0
sbbrNeGvSAUdrhcIm2MTsg,american,191 Knickerbocker,77,5.0,0
gU6_qALmeWysg2YXMzMrtw,italian,Serafina Fabulous Pizza,299,3.0,0
4qtJ_u-7-73ts5UPa6NBmA,japanese,Ni Japanese Delicacies,45,4.5,0
g42C_GsiLWzbVY2OZQsoyw,chinese,Ho May Kitchen,12,4.0,0
Rr718mwaNrRhXuE6bFSN7A,british,Fawkner,95,4.0,0
dMrF98GlFYIPKYY5NVZHbw,italian,Gemma,617,3.5,0
abNHO9-xlCsv31gghCUuxw,japanese,Zutto Japanese American Pub,847,4.0,0
tLrmUO7QhCSt_l1D3QRiNQ,american,Union Square Burger,194,4.0,0
Ja4MWGAyPw74Oy6HJ5RizA,thailand,Rickshaw Dumpling Truck,142,2.5,0
ZQrmos0TEPCmMHQUreYvpw,italian,Caffe Taci,15,4.5,0
6fjcZtaEtrmIas-WNss-eQ,italian,Piccolo Cafe,302,3.5,0
oIPpGBpDdi_Z_7hhXGvW8Q,japanese,Kealoha Sushi & Poke Bowl,55,4.5,0
6mdT2r5kIOrx-DUlR5bmOg,mexican,Cantina Cumbancha,17,5.0,0
nRO136GRieGtxz18uD61DA,british,Eleven Madison Park,2015,4.5,0
tA_AoGEL_oGllbU2j77Shw,chinese,Tiny Shanghai,168,4.5,0
hq09sqXaYiEogbTrrJ9X5g,italian,Da Capo Columbus,92,4.0,0
DiHm4iIAQhqMKfjsrBPvZw,mexican,Socarrat Paella Bar - Chelsea,1092,4.0,0
YqWXNq0Ku7cGb6Zj1j43Pw,japanese,KAL,52,5.0,0
bK-Y2zCIMolqRDHsaYUCWA,chinese,Royal Seafood Restaurant,259,3.0,0
a8hlHcxPxtXmYxGFsy5PSg,british,McGarry's Bar and Restaurant,135,3.5,0
lmiwPS9tl3cyMDGDeVstqQ,chinese,New Apolo,126,3.5,0
h3iF9MVyPyQuLNdfKxFXHA,japanese,Kumade,69,4.0,0
-SMrRnKHeDqJdqlOc1pWVQ,japanese,Menya Sandaime,105,3.5,0
cRUuiiEW7F0uqtgSG-sKCg,italian,Mama Maria's Restaurant,107,4.0,0
WqjqHMozyW42XLTtLnKGag,mexican,La Pulperia Hell's Kitchen,694,4.5,0
py1zfy48JMV6tMZRvgxMKA,japanese,Palace of Japan,173,3.5,0
puIxzUYl8hhVfWJRaMsZcA,american,The Mercer Kitchen,1515,3.5,0
HqpG67tbPpOZfKfM60pWcA,mexican,Social Drink and Food,38,4.0,0
5DwGICd6TkAnvO6YNeYp0Q,thailand,Red Basil,195,3.5,0
ykf5siP-2CXY3leFbeeabQ,thailand,An'Nam,251,4.0,0
_VXlKJEUEoP0wG6ZxruteQ,mexican,Sidewalk Tacos,60,4.5,0
nV-LbnEV_2OwXvXRany1sg,mexican,Hungry Burrito,25,4.0,0
JlxQM-azQzUECbwqDv3iTg,mexican,Demitasse Coffee & Tea,60,4.5,0
yoPMDATGXh_8NR7I0SW1gw,mexican,Manhattan Proper,305,4.0,0
-pcCiCeyK4cvLtnkcF9T5Q,american,Mekelburg's Domino,18,5.0,0
LNwaPEFd9gHu69lFtgYQOw,japanese,Osaka,119,3.5,0
6ezrABEThm48qv1qj8_FVw,mexican,Javelina,81,3.5,0
JliAIBARXi9uISzNG26DVw,italian,Elio's,210,3.5,0
35zXShgl22ax__nMLG7z5Q,japanese,Kumo Sushi,428,3.5,0
yZs_A8r0qDz7Z5bR0C-aiQ,mexican,Black Tap Craft Burger & Beers,875,4.0,0
